locationYear,longitude_center,latitude_center,constructionYear
DEG-2007,12.931233886153311,48.836946787148406,2007
FIS-2016,12.950872323526493,48.80337026698668,2016
HER-2016,12.709148683789348,48.88884682062423,2016
HOF-2012,13.115585059814347,48.678442079852644,2012
IRL-2003,12.757547541932063,48.84894110438763,2003
IRL-2010,12.75668339246255,48.8485601131008,2010
IRL-2011,12.74208364985569,48.846385949121704,2011
MAR-2010,12.80880091188479,48.825765489860004,2010
MUE-2007,13.020164404340083,48.71637023802181,2007
"NAT-2013",12.928359911149723,48.83090440949099,2013
OEB-2006,12.642973810222456,48.89402129390037,2006
OEB-2010,12.63417609153175,48.89204225126736,2010
OEB-2012,12.625422190561105,48.900043806280024,2012
PAR-2008,12.599519797194445,48.90247647168155,2008
PFE-2008,12.754749690396189,48.878813953399245,2008
SAU-2006,12.950202154760866,48.825027575580236,2006
SCH-2016,12.84349412615694,48.8457337962031,2016
STO-2002,12.969722600986806,48.778079650635725,2002
